,grade_goal,confidence,anxiety,time,exam_date
1,26,4,2,5,1
2,25,3,5,4,1
3,20,4,4,5,1
4,20,3,4,6,1
5,25,3,3,5,2
6,27,4,3,6,1
7,25,4,5,4,1
8,23,4,2,6,1
9,27,1,5,6,1
10,18,1,5,5,1
11,24,3,4,5,1
12,25,4,2,5,1
13,23,3,4,6,1
14,25,4,3,4,1
15,26,3,4,4,1
16,25,3,5,4,2
17,25,3,4,5,1
18,30,4,3,5,1
19,30,4,2,3,1
20,28,4,4,6,2
21,28,5,1,3,1
22,20,3,3,4,1
23,28,4,3,6,1
24,27,4,3,5,1
25,20,3,2,3,1
26,26,4,3,5,1
27,25,4,3,5,1
28,24,2,4,5,1
29,30,5,5,4,1
30,25,4,3,5,1
31,22,3,3,6,1
32,27,4,3,5,1
33,25,4,4,5,1
34,28,4,4,4,1
35,24,3,4,5,1
36,27,3,3,5,1
37,28,4,3,5,1
38,31,3,3,5,1
39,25,3,4,5,1
40,25,3,2,6,1
41,30,3,4,6,1
42,25,2,4,6,1
43,28,3,5,3,1
44,28,4,3,5,1
45,24,3,3,3,1
46,23,3,5,5,1
47,25,3,5,3,1
48,31,5,5,4,1
49,28,3,3,5,1
50,23,4,3,5,1
51,26,4,3,5,1
52,27,3,5,4,1
53,28,4,3,5,1
54,23,4,3,6,2
55,24,4,3,3,1
56,22,2,2,3,1
57,27,4,2,4,1
58,18,5,1,1,4
59,20,4,3,4,2
60,27,4,2,4,1
61,25,4,2,4,1
62,22,3,4,4,1
63,24,2,4,4,1
64,26,4,2,5,1
65,24,4,4,4,1
66,24,4,3,3,1
67,28,4,3,5,1
68,23,3,3,5,1
69,23,3,3,3,1
70,28,4,3,3,1
71,25,3,4,4,2
72,28,3,3,6,2
73,28,4,4,4,1
74,25,3,4,4,1
75,18,3,3,5,1
76,18,2,5,5,2
77,25,4,3,5,1
78,27,3,3,5,1
79,18,2,3,6,1
80,23,3,4,5,1
81,25,5,3,6,1
82,26,3,4,5,1
83,18,3,2,6,1
84,27,3,3,3,1
85,25,4,4,4,2
86,25,4,4,5,1
87,30,2,3,3,1
88,24,1,3,4,2
89,24,4,2,4,1
90,31,5,3,6,2
91,21,3,4,3,1
92,27,4,3,4,1
93,30,4,2,2,1
94,26,3,5,6,1
95,25,4,3,5,1
96,26,4,2,4,1
97,30,5,3,6,1
98,20,4,3,6,1
99,25,3,4,4,2
100,30,4,3,3,1
101,31,1,2,1,1
102,24,5,1,6,1
103,18,3,2,6,1
104,25,5,4,6,1
105,22,1,4,3,1
106,25,2,3,4,2
107,30,3,4,6,1
108,28,3,2,3,1
109,25,4,4,6,1
110,22,3,4,5,1
111,28,4,2,3,1
112,24,3,3,4,1
113,24,3,3,5,1
114,28,4,3,4,1
115,27,4,2,3,1
116,23,3,3,6,1
117,30,3,4,6,1
118,18,3,3,3,1
119,18,3,3,3,1
120,25,4,2,6,1
121,28,2,4,4,2
122,27,3,4,4,1
123,25,5,3,5,1
124,25,4,5,5,1
125,20,4,2,5,1
126,24,5,4,6,1
127,22,4,3,6,2
128,27,3,4,5,2
129,24,3,3,4,1
130,18,3,4,5,1
131,31,4,3,5,1
132,31,4,3,3,1
133,25,4,4,5,1
134,21,3,5,5,1
135,22,3,4,4,1
136,27,3,4,5,1
137,26,1,2,6,1
138,22,2,3,4,1
139,22,3,5,5,2
140,25,4,5,6,1
141,25,4,3,5,1
142,25,5,2,4,1
143,22,2,5,5,1
144,30,5,3,5,2
145,31,5,3,6,1
146,27,3,4,5,1
147,22,4,4,5,1
148,23,4,4,5,1
149,19,3,3,4,2
150,27,4,3,4,1
151,29,4,4,3,1
152,20,4,5,6,1
153,24,4,3,5,1
